"","LPI_final","CI_low","CI_high","sim","label","trend_type","years"
"43690",0.735768245566218,0.596680685755231,0.923275455791222,7,"60%","Concave Decrease",2007
"43691",0.697734010168554,0.567585161314279,0.88367086268393,7,"60%","Concave Decrease",2008
"43692",0.691406265509182,0.559177106026355,0.881080110213233,7,"60%","Concave Decrease",2009
"43693",0.69659604306051,0.561737764415549,0.884823046774573,7,"60%","Concave Decrease",2010
"43694",0.679969745755681,0.552469829879602,0.856847170255307,7,"60%","Concave Decrease",2011
"43695",0.642454200943891,0.521868485114495,0.817335812715581,7,"60%","Concave Decrease",2012
"43696",0.601839701593741,0.487505401402828,0.759773039259693,7,"60%","Concave Decrease",2013
"43697",0.546096000169623,0.436203501495317,0.694031796377476,7,"60%","Concave Decrease",2014
"43698",0.526874602373936,0.419398595922008,0.667145508957875,7,"60%","Concave Decrease",2015
"43699",0.493648169869825,0.392267858229902,0.626406041399952,7,"60%","Concave Decrease",2016
"43700",0.458081322442286,0.363256995134713,0.58624268457871,7,"60%","Concave Decrease",2017
"43701",0.435069740279374,0.345312688824666,0.556618561727831,7,"60%","Concave Decrease",2018
"43702",0.403714063383229,0.320312997319734,0.516058291944987,7,"60%","Concave Decrease",2019
"43703",0.370963847462458,0.290181867124299,0.475667333824922,7,"60%","Concave Decrease",2020
"43704",0.370963847462458,0.290181867124299,0.475667333824922,7,"60%","Concave Decrease",2021
"43705",1,1,1,8,"60%","Concave Decrease",1950
"43706",1.03465300227431,0.971245009824921,1.11906542332308,8,"60%","Concave Decrease",1951
"43707",1.03324724665215,0.962601721551743,1.12239209427984,8,"60%","Concave Decrease",1952
"43708",1.02433420552315,0.947236595048181,1.11819705556041,8,"60%","Concave Decrease",1953
"43709",1.03036693305178,0.946632190469893,1.13220363099569,8,"60%","Concave Decrease",1954
"43710",1.04090534577082,0.950390714607403,1.14588555659142,8,"60%","Concave Decrease",1955
"43711",1.05014164816979,0.954787999631747,1.16145237549898,8,"60%","Concave Decrease",1956
"43712",1.06584446283453,0.969646289280725,1.18270515804971,8,"60%","Concave Decrease",1957
"43713",1.08827410006844,0.986166302640217,1.21453195704382,8,"60%","Concave Decrease",1958
"43714",1.08863983272836,0.982514960193534,1.20825541696433,8,"60%","Concave Decrease",1959
"43715",1.10480283606179,0.988175886213988,1.2364861554697,8,"60%","Concave Decrease",1960
"43716",1.11093497168078,0.990540694581877,1.25485084669647,8,"60%","Concave Decrease",1961
"43717",1.10466709523926,0.980921877325632,1.25226032331353,8,"60%","Concave Decrease",1962
"43718",1.10025026372433,0.97402160652514,1.25027733487042,8,"60%","Concave Decrease",1963
"43719",1.08929917829066,0.965268094907017,1.23710168178687,8,"60%","Concave Decrease",1964
"43720",1.08963230153278,0.963079015560552,1.23957690635937,8,"60%","Concave Decrease",1965
"43721",1.07548073777049,0.948749439392479,1.22513069833368,8,"60%","Concave Decrease",1966
"43722",1.0578655720125,0.935768630817716,1.21125580835753,8,"60%","Concave Decrease",1967
"43723",1.04959113071364,0.923496911605523,1.20208001585979,8,"60%","Concave Decrease",1968
"43724",1.05795321564931,0.93154108766998,1.20973895999821,8,"60%","Concave Decrease",1969
"43725",1.08367555595384,0.944131816456604,1.24752089586038,8,"60%","Concave Decrease",1970
"43726",1.08703136081646,0.945595101536232,1.25021098519989,8,"60%","Concave Decrease",1971
"43727",1.0773178487593,0.934692769838483,1.2444775802807,8,"60%","Concave Decrease",1972
"43728",1.08707475595866,0.937385561390335,1.25619403476049,8,"60%","Concave Decrease",1973
"43729",1.10438612960935,0.957022504512471,1.27778875161302,8,"60%","Concave Decrease",1974
"43730",1.09179082726843,0.937623967653775,1.27203494330934,8,"60%","Concave Decrease",1975
"43731",1.09472091483488,0.933552779585335,1.28261072909369,8,"60%","Concave Decrease",1976
"43732",1.09964944305396,0.937704107929212,1.29047749799493,8,"60%","Concave Decrease",1977
"43733",1.07982249746135,0.916511214559309,1.27703575090766,8,"60%","Concave Decrease",1978
"43734",1.06898125793953,0.90581512990836,1.26495120747677,8,"60%","Concave Decrease",1979
"43735",1.07280169001434,0.908804927526126,1.27131747678152,8,"60%","Concave Decrease",1980
"43736",1.05578565751528,0.89817314382349,1.25241229334218,8,"60%","Concave Decrease",1981
"43737",1.02806402145372,0.86723081412116,1.22902668437204,8,"60%","Concave Decrease",1982
"43738",1.01917885031274,0.858283552451301,1.22106921922857,8,"60%","Concave Decrease",1983
"43739",1.03159598725193,0.863110153914782,1.23709357212138,8,"60%","Concave Decrease",1984
"43740",1.04684968432291,0.874819363224132,1.25183160390759,8,"60%","Concave Decrease",1985
"43741",1.06374883430828,0.884906057389779,1.2841815597815,8,"60%","Concave Decrease",1986
"43742",1.06664612010703,0.887262807848983,1.27837903722158,8,"60%","Concave Decrease",1987
"43743",1.0458072672617,0.868000588103935,1.26888221259574,8,"60%","Concave Decrease",1988
"43744",1.01814069554677,0.847270052535569,1.24092098966131,8,"60%","Concave Decrease",1989
"43745",1.04083092128678,0.864403288241744,1.26910008604725,8,"60%","Concave Decrease",1990
"43746",1.05111067696917,0.874093377674455,1.29187997671384,8,"60%","Concave Decrease",1991
"43747",1.02650846370739,0.849174187517201,1.25631231930779,8,"60%","Concave Decrease",1992
"43748",1.02079778527675,0.83766484846941,1.23973298865993,8,"60%","Concave Decrease",1993
"43749",1.05577631773049,0.860356884298811,1.29453464311366,8,"60%","Concave Decrease",1994
"43750",1.03930866248084,0.846254029775747,1.26668776881409,8,"60%","Concave Decrease",1995
"43751",1.01664204596354,0.824407407548738,1.23649880432558,8,"60%","Concave Decrease",1996
"43752",0.977981431042708,0.791097034288233,1.19814387608366,8,"60%","Concave Decrease",1997
"43753",0.96143512132887,0.780061590267045,1.19151959752869,8,"60%","Concave Decrease",1998
"43754",0.940567266478895,0.762401013315476,1.16137852068705,8,"60%","Concave Decrease",1999
"43755",0.937319985433995,0.757844867917611,1.15919075241713,8,"60%","Concave Decrease",2000
"43756",0.933516648598997,0.757577532345976,1.15903757696657,8,"60%","Concave Decrease",2001
"43757",0.917218539668959,0.742958623328657,1.13557474235854,8,"60%","Concave Decrease",2002
"43758",0.909154940087038,0.734644615288439,1.12818146366291,8,"60%","Concave Decrease",2003
"43759",0.873656951262074,0.70232584100473,1.08402607951972,8,"60%","Concave Decrease",2004
"43760",0.854772294128034,0.683684050614347,1.06301965601326,8,"60%","Concave Decrease",2005
"43761",0.829327068015066,0.667655500984896,1.02921250311077,8,"60%","Concave Decrease",2006
"43762",0.797223170930299,0.637956413424921,0.992415544488926,8,"60%","Concave Decrease",2007
"43763",0.781822219154269,0.623343782662609,0.976623712479666,8,"60%","Concave Decrease",2008
"43764",0.779742167819952,0.625000331665262,0.968156491024725,8,"60%","Concave Decrease",2009
"43765",0.774147020735828,0.62363709338771,0.965341013728023,8,"60%","Concave Decrease",2010
"43766",0.749008989028027,0.589646751006306,0.933963668984179,8,"60%","Concave Decrease",2011
"43767",0.725624460182166,0.570105325837736,0.911602968358115,8,"60%","Concave Decrease",2012
"43768",0.70150711254401,0.553516799807804,0.882511087854665,8,"60%","Concave Decrease",2013
"43769",0.646247217287704,0.501316327531594,0.813831114671729,8,"60%","Concave Decrease",2014
"43770",0.596245099267398,0.468666088849828,0.751685999474258,8,"60%","Concave Decrease",2015
"43771",0.57416599034769,0.448609049126593,0.726673141514501,8,"60%","Concave Decrease",2016
"43772",0.526831027127953,0.413094267162716,0.668513249081509,8,"60%","Concave Decrease",2017
"43773",0.482502017479156,0.376864906437526,0.60921648847171,8,"60%","Concave Decrease",2018
"43774",0.454869614400845,0.355908068107425,0.580941960696556,8,"60%","Concave Decrease",2019
"43775",0.422744221853968,0.330939305510714,0.538856274459709,8,"60%","Concave Decrease",2020
"43776",0.422744221853968,0.330939305510714,0.538856274459709,8,"60%","Concave Decrease",2021
"43777",1,1,1,9,"60%","Concave Decrease",1950
"43778",0.945299136864601,0.851363382875958,1.01852344019501,9,"60%","Concave Decrease",1951
"43779",0.967908114500455,0.870633068627123,1.05417277223786,9,"60%","Concave Decrease",1952
"43780",0.986232259379794,0.88614888577062,1.07564414324387,9,"60%","Concave Decrease",1953
"43781",0.99209813472325,0.888838782886136,1.0877886870657,9,"60%","Concave Decrease",1954
"43782",0.987181009694738,0.879223652086192,1.09335477904844,9,"60%","Concave Decrease",1955
