"","trend_type","label","years","CI_high","CI_low","LPI_final","sim"
"37","Convex Decrease","20%",1986,0.625258816922507,0.483837527564793,0.548541489507479,"median"
"38","Convex Decrease","20%",1987,0.625472587033122,0.482245085872599,0.548513813085158,"median"
"39","Convex Decrease","20%",1988,0.622905270221113,0.480936709396489,0.545101637013847,"median"
"40","Convex Decrease","20%",1989,0.617889367549565,0.479584911064955,0.540789942923186,"median"
"41","Convex Decrease","20%",1990,0.613963600590375,0.473514667646621,0.539450551622104,"median"
"42","Convex Decrease","20%",1991,0.613216655583074,0.468976499009111,0.537035298351089,"median"
"43","Convex Decrease","20%",1992,0.61558646710792,0.467710271969138,0.534834826549565,"median"
"44","Convex Decrease","20%",1993,0.618917223952128,0.469660088281134,0.536962052702757,"median"
"45","Convex Decrease","20%",1994,0.623024410380812,0.467924615175697,0.534615587829788,"median"
"46","Convex Decrease","20%",1995,0.615121522501211,0.462978152974542,0.527516709602418,"median"
"47","Convex Decrease","20%",1996,0.602766555536937,0.453661220211089,0.519161925276702,"median"
"48","Convex Decrease","20%",1997,0.589949059150207,0.443857113506921,0.509849559848367,"median"
"49","Convex Decrease","20%",1998,0.583726130078685,0.438740750679592,0.503609619147333,"median"
"50","Convex Decrease","20%",1999,0.579719378069796,0.436890152406864,0.501329588493355,"median"
"51","Convex Decrease","20%",2000,0.578650516572585,0.436168438334313,0.499731133184629,"median"
"52","Convex Decrease","20%",2001,0.57951306306413,0.435676015014247,0.50026442626295,"median"
"53","Convex Decrease","20%",2002,0.580286536428438,0.435967785379746,0.498828695684868,"median"
"54","Convex Decrease","20%",2003,0.580773381003814,0.43356128076561,0.497392960574155,"median"
"55","Convex Decrease","20%",2004,0.574501233538877,0.429926835139805,0.49459578806765,"median"
"56","Convex Decrease","20%",2005,0.569312723358961,0.426527628145937,0.488635367104144,"median"
"57","Convex Decrease","20%",2006,0.561844129432914,0.420251078125756,0.482527692439275,"median"
"58","Convex Decrease","20%",2007,0.557596806746002,0.415959670009202,0.477338163978795,"median"
"59","Convex Decrease","20%",2008,0.55554744801974,0.414338289410414,0.477360019504456,"median"
"60","Convex Decrease","20%",2009,0.559754194294569,0.417929066123511,0.481930008999653,"median"
"61","Convex Decrease","20%",2010,0.564379083290666,0.419679637059146,0.485634495239418,"median"
"62","Convex Decrease","20%",2011,0.566049188559152,0.41894572277969,0.486030760999994,"median"
"63","Convex Decrease","20%",2012,0.561324539578424,0.41533318788002,0.480749104904238,"median"
"64","Convex Decrease","20%",2013,0.554181465231575,0.408404060222735,0.47305473951513,"median"
"65","Convex Decrease","20%",2014,0.542509434629607,0.397208454090103,0.463774880553172,"median"
"66","Convex Decrease","20%",2015,0.533073641271482,0.390404503355556,0.456287074595308,"median"
"67","Convex Decrease","20%",2016,0.525745218977143,0.385448317744588,0.448673417367038,"median"
"68","Convex Decrease","20%",2017,0.521557733433435,0.380559361873409,0.444996007519903,"median"
"69","Convex Decrease","20%",2018,0.519481767153022,0.379017228650952,0.441534706993998,"median"
"70","Convex Decrease","20%",2019,0.515779510640547,0.378146241924905,0.439104838512453,"median"
"71","Convex Decrease","20%",2020,0.511661758597804,0.372014663266379,0.433860125803614,"median"
"72","Convex Decrease","40%",1950,1,1,1,"median"
"73","Convex Decrease","40%",1951,0.915706156098267,0.806106795005542,0.859772341508099,"median"
"74","Convex Decrease","40%",1952,0.854620361179832,0.728497342223463,0.786101440174302,"median"
"75","Convex Decrease","40%",1953,0.818104076034366,0.686378815756221,0.745818501047449,"median"
"76","Convex Decrease","40%",1954,0.796496623383767,0.66462866907698,0.71959090366866,"median"
"77","Convex Decrease","40%",1955,0.794852512963843,0.648762517572197,0.718053833631856,"median"
"78","Convex Decrease","40%",1956,0.791623599372936,0.648791333962471,0.716588347575477,"median"
"79","Convex Decrease","40%",1957,0.786848613366147,0.641381393853388,0.71072227113413,"median"
"80","Convex Decrease","40%",1958,0.785380082497674,0.641278910903413,0.709779401955727,"median"
"81","Convex Decrease","40%",1959,0.789412060774418,0.639079867711187,0.711013170564194,"median"
"82","Convex Decrease","40%",1960,0.790421865108718,0.633728337103217,0.708744839775394,"median"
"83","Convex Decrease","40%",1961,0.791178525456002,0.636327920682951,0.713423750074154,"median"
"84","Convex Decrease","40%",1962,0.785965816124263,0.627452647996377,0.701010632842059,"median"
"85","Convex Decrease","40%",1963,0.775777720055276,0.622124234993133,0.694952436380759,"median"
"86","Convex Decrease","40%",1964,0.762178311087734,0.604496524334169,0.679218157610088,"median"
"87","Convex Decrease","40%",1965,0.756596632913415,0.593974380371545,0.672957961946214,"median"
"88","Convex Decrease","40%",1966,0.745391351948612,0.581454393770147,0.660102342618127,"median"
"89","Convex Decrease","40%",1967,0.733192612697805,0.577264533080779,0.651656072415234,"median"
"90","Convex Decrease","40%",1968,0.730006690022994,0.575256016875692,0.641492559133688,"median"
"91","Convex Decrease","40%",1969,0.715939615153819,0.553980484150595,0.630006051305009,"median"
"92","Convex Decrease","40%",1970,0.71714973440393,0.55683048034238,0.631987789963891,"median"
"93","Convex Decrease","40%",1971,0.711889184070712,0.548992437949623,0.627664826759741,"median"
"94","Convex Decrease","40%",1972,0.704060309588133,0.542091264148958,0.62109682875445,"median"
"95","Convex Decrease","40%",1973,0.704230078930636,0.538188700033815,0.617304568389797,"median"
"96","Convex Decrease","40%",1974,0.699152032027746,0.529276948075587,0.609865388039057,"median"
"97","Convex Decrease","40%",1975,0.695750615075581,0.524071967828949,0.6084816157825,"median"
"98","Convex Decrease","40%",1976,0.690675270710484,0.521648376035323,0.601346607058276,"median"
"99","Convex Decrease","40%",1977,0.687179788667444,0.522088216153156,0.59756472599629,"median"
"100","Convex Decrease","40%",1978,0.680319052776445,0.510645939763082,0.590868162175888,"median"
"101","Convex Decrease","40%",1979,0.672907383273577,0.507812305279282,0.585269903744418,"median"
"102","Convex Decrease","40%",1980,0.667737237149997,0.502867715121508,0.58214256394512,"median"
"103","Convex Decrease","40%",1981,0.660792014266199,0.49662213144566,0.575979440542218,"median"
"104","Convex Decrease","40%",1982,0.651481909630671,0.488279674661599,0.562489272538941,"median"
"105","Convex Decrease","40%",1983,0.643317775921527,0.478892082405056,0.556306858452923,"median"
"106","Convex Decrease","40%",1984,0.638214998827145,0.476612525982579,0.552409270255376,"median"
"107","Convex Decrease","40%",1985,0.637239969459549,0.474919836241505,0.553212836653198,"median"
"108","Convex Decrease","40%",1986,0.639783700878954,0.477371670337827,0.554119880612463,"median"
"109","Convex Decrease","40%",1987,0.637625090241498,0.478060313028828,0.552973029090363,"median"
"110","Convex Decrease","40%",1988,0.634830852007584,0.469878997429379,0.548823905228842,"median"
"111","Convex Decrease","40%",1989,0.63249473159204,0.464817909032523,0.543013199816257,"median"
