"","LPI_final","CI_low","CI_high","years","label","sim"
"60",0.442975822520026,0.441351513596724,0.444710345911707,2009,"concave",1
"61",0.441240711708933,0.439662256764564,0.442930491044301,2010,"concave",1
"62",0.439273694716449,0.437709349409396,0.440992959306387,2011,"concave",1
"63",0.436811999156809,0.435171150938646,0.438504719797328,2012,"concave",1
"64",0.434611497457035,0.43295325005287,0.436333828506685,2013,"concave",1
"65",0.432914372567213,0.431258829104413,0.434636268174464,2014,"concave",1
"66",0.431030112378899,0.429381188314881,0.432722380642105,2015,"concave",1
"67",0.428742826207953,0.427091064328097,0.430491669422582,2016,"concave",1
"68",0.426676534505615,0.425017250485698,0.42838304906066,2017,"concave",1
"69",0.425204551518646,0.423500585207517,0.426907858220412,2018,"concave",1
"70",0.423611072063407,0.421929510828971,0.425335126642581,2019,"concave",1
"71",0.421565100463322,0.419843785820322,0.423287470918289,2020,"concave",1
"72",1,1,1,1950,"linear",1
"73",0.991624107979448,0.991021961929541,0.992290232156492,1951,"linear",1
"74",0.983585794734851,0.98276847601597,0.984407228063392,1952,"linear",1
"75",0.975434069791877,0.974504410675724,0.976444810004306,1953,"linear",1
"76",0.966938025958346,0.965883598282246,0.96796396667672,1954,"linear",1
"77",0.958158266977239,0.957003134825898,0.959230889841698,1955,"linear",1
"78",0.949420433547693,0.948217103282076,0.950577248330551,1956,"linear",1
"79",0.940999762683516,0.939721185550051,0.942279677327859,1957,"linear",1
"80",0.932839438900917,0.931542657250385,0.934111240032357,1958,"linear",1
"81",0.924391579967858,0.92293486278275,0.92568184112574,1959,"linear",1
"82",0.915725468663302,0.914285864279296,0.917238109903275,1960,"linear",1
"83",0.907101138419361,0.905604151936657,0.908667032695275,1961,"linear",1
"84",0.898755079414935,0.897215610874441,0.900410715408621,1962,"linear",1
"85",0.890451614607779,0.888907551196337,0.892079969839458,1963,"linear",1
"86",0.882053374893106,0.880514043312986,0.883719925612178,1964,"linear",1
"87",0.873265099218364,0.871700791528524,0.874993390354846,1965,"linear",1
"88",0.864641934544623,0.86300186589572,0.866373711567977,1966,"linear",1
"89",0.85603413034014,0.85439621998133,0.857738434093332,1967,"linear",1
"90",0.847137967184938,0.845424816761518,0.848889097263899,1968,"linear",1
"91",0.838313817814985,0.836565222295354,0.840097198592094,1969,"linear",1
"92",0.829447462117271,0.82773266481472,0.831258118180123,1970,"linear",1
"93",0.82094331684894,0.819223571185948,0.822862185666118,1971,"linear",1
"94",0.81244694379612,0.810667215859725,0.814288365682093,1972,"linear",1
"95",0.803808249698782,0.801960070968562,0.80567938417875,1973,"linear",1
"96",0.79502473993761,0.793113308832865,0.796904764652041,1974,"linear",1
"97",0.786331042117727,0.784389023229845,0.788221254243942,1975,"linear",1
"98",0.777690113714622,0.775688393801897,0.77958782230282,1976,"linear",1
"99",0.769062497067395,0.76719045032202,0.770929476229912,1977,"linear",1
"100",0.760309473392961,0.758379135872846,0.762231272697748,1978,"linear",1
"101",0.751465252532585,0.749535858327818,0.753358643825161,1979,"linear",1
"102",0.742807870075507,0.740867790267144,0.744785258040385,1980,"linear",1
"103",0.734421841846321,0.73242509242915,0.73642219164238,1981,"linear",1
"104",0.726205968154079,0.724179859049825,0.728128017609873,1982,"linear",1
"105",0.717891282243937,0.715866004385934,0.719833020159541,1983,"linear",1
"106",0.709364243405713,0.707342760335515,0.711352995325735,1984,"linear",1
"107",0.700987781421179,0.698950963966986,0.702910608908636,1985,"linear",1
"108",0.692558921226611,0.69051064422714,0.694505488198172,1986,"linear",1
"109",0.683929458955252,0.68187100672481,0.685860589691628,1987,"linear",1
"110",0.67516755584592,0.673175155683691,0.677178282421324,1988,"linear",1
"111",0.666390655138193,0.664370431227372,0.668374674433974,1989,"linear",1
"112",0.657800981434237,0.6557814533581,0.659786265610642,1990,"linear",1
"113",0.649352909293895,0.647364565636907,0.651245675601085,1991,"linear",1
"114",0.64079747819577,0.638715929045728,0.642696453618902,1992,"linear",1
"115",0.632037496473576,0.630013625226277,0.633976138657329,1993,"linear",1
"116",0.623273452129334,0.621249043841899,0.625161952879852,1994,"linear",1
"117",0.614654064745502,0.612652983760765,0.616540538183603,1995,"linear",1
"118",0.60613486128852,0.604178819260816,0.608040384963167,1996,"linear",1
"119",0.597644909894885,0.595624151749758,0.599581640948339,1997,"linear",1
