"","LPI_final","CI_low","CI_high","years","numZeros","sim","label"
"15899",0.87904433844972,0.713448748478589,0.968555843553253,2015,3341,224,"Permutations"
"15900",0.881404176097286,0.714907879142432,0.972118559190754,2016,3258,224,"Permutations"
"15901",0.894152584106918,0.731154132380653,0.992013482940565,2017,2879,224,"Permutations"
"15902",0.907365323185275,0.747094572276304,1.00259030671169,2018,3010,224,"Permutations"
"15903",0.936821375737164,0.780389342204563,1.03623668764759,2019,2606,224,"Permutations"
"15904",0.936821375737164,0.780389342204563,1.03623668764759,2020,2147,224,"Permutations"
"15905",1,1,1,1950,13,225,"Permutations"
"15906",0.960878382931674,0.909417189329925,0.989797457285919,1951,12,225,"Permutations"
"15907",1.00735611609676,0.951631547262067,1.08652605037366,1952,13,225,"Permutations"
"15908",1.00349313679385,0.891972440794576,1.07643409562434,1953,9,225,"Permutations"
"15909",1.03918091032526,0.895665099239125,1.1194742793141,1954,12,225,"Permutations"
"15910",1.07044795429697,0.941039760985941,1.19291120356216,1955,7,225,"Permutations"
"15911",1.07419072670266,0.970457865967467,1.23035193028655,1956,12,225,"Permutations"
"15912",1.11908072942101,0.983792936207843,1.25933895590825,1957,10,225,"Permutations"
"15913",1.12891767318509,1.00381655200735,1.30523828760224,1958,14,225,"Permutations"
"15914",1.13524840865224,1.01313744051986,1.31231247024164,1959,13,225,"Permutations"
"15915",1.10743077153889,0.978657384471364,1.25958473077855,1960,16,225,"Permutations"
"15916",1.13494706051669,0.990353299686103,1.29124641375792,1961,10,225,"Permutations"
"15917",1.12431816378328,0.972449265025076,1.27481657188354,1962,15,225,"Permutations"
"15918",1.10944849646181,0.971105621322654,1.27183670808427,1963,12,225,"Permutations"
"15919",1.15787888511923,0.999687971063513,1.31389726640633,1964,14,225,"Permutations"
"15920",1.1663159718992,0.998023970746593,1.31564937313306,1965,12,225,"Permutations"
"15921",1.18148941339983,1.01373395199991,1.36018897921764,1966,14,225,"Permutations"
"15922",1.15906032887183,0.994841359749771,1.32552989716316,1967,12,225,"Permutations"
"15923",1.16864082128344,1.0067384579571,1.33720494986383,1968,14,225,"Permutations"
"15924",1.15109054695947,1.00185751275223,1.32374897943244,1969,18,225,"Permutations"
"15925",1.15095755312115,0.993157794944293,1.32829852983452,1970,42,225,"Permutations"
"15926",1.15351532580751,0.980447320916384,1.31753124080971,1971,33,225,"Permutations"
"15927",1.16305288884748,0.995354624907174,1.34952002915666,1972,31,225,"Permutations"
"15928",1.16549225601953,0.989306872915971,1.34930272964761,1973,39,225,"Permutations"
